Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs
10,Random,0.2,88.25,88.86,59.71570420265198,1.2548862445280227,162190.0,88.71,203264.0
762,Random,0.2,88.25,89.21,59.69250273704529,1.2548862445280227,162190.0,88.71,203264.0
140,Random,0.2,88.25,89.2,70.35096335411072,1.2548862445280227,162190.0,88.71,203264.0
65,Random,0.2,88.25,88.85,72.4654586315155,1.2548862445280227,162190.0,88.71,203264.0
436,Random,0.2,88.2,88.9,69.00102233886719,1.2548862445280227,162190.0,88.71,203264.0
799,Random,0.2,88.25,87.97,70.60313558578491,1.2548862445280227,162190.0,88.71,203264.0
450,Random,0.2,88.2,88.88,65.11702990531921,1.2548862445280227,162190.0,88.71,203264.0
487,Random,0.2,88.2,88.94,69.16139602661133,1.2548862445280227,162190.0,88.71,203264.0
556,Random,0.2,88.2,88.9,67.01792216300964,1.2548862445280227,162190.0,88.71,203264.0
312,Random,0.2,88.2,88.95,67.59531378746033,1.2548862445280227,162190.0,88.71,203264.0
548,Random,0.2,88.2,89.04,68.19927883148193,1.2548862445280227,162190.0,88.71,203264.0
318,Random,0.2,88.2,88.26,66.66396951675415,1.2548862445280227,162190.0,88.71,203264.0
386,Random,0.2,88.2,88.76,71.78271198272705,1.2548862445280227,162190.0,88.71,203264.0
393,Random,0.2,88.2,88.63,69.9376814365387,1.2548862445280227,162190.0,88.71,203264.0
408,Random,0.2,88.2,89.02,76.6991331577301,1.2548862445280227,162190.0,88.71,203264.0
611,Random,0.2,88.2,89.16,65.81042766571045,1.2548862445280227,162190.0,88.71,203264.0
650,Random,0.2,88.2,88.91,68.9322292804718,1.2548862445280227,162190.0,88.71,203264.0
633,Random,0.2,88.2,89.05,70.25637912750244,1.2548862445280227,162190.0,88.71,203264.0
669,Random,0.2,88.2,88.6,64.59663653373718,1.2548862445280227,162190.0,88.71,203264.0
683,Random,0.2,88.2,89.21,70.59467601776123,1.2548862445280227,162190.0,88.71,203264.0
715,Random,0.2,88.2,89.1,68.6567234992981,1.2548862445280227,162190.0,88.71,203264.0
862,Random,0.2,88.2,89.05,68.99707317352295,1.2548862445280227,162190.0,88.71,203264.0
865,Random,0.2,88.2,89.11,70.44517707824707,1.2548862445280227,162190.0,88.71,203264.0
887,Random,0.2,88.2,88.94,69.11153149604797,1.2548862445280227,162190.0,88.71,203264.0
897,Random,0.2,88.2,88.78,71.2774863243103,1.2548862445280227,162190.0,88.71,203264.0
932,Random,0.2,88.2,88.92,71.10630464553833,1.2548862445280227,162190.0,88.71,203264.0
952,Random,0.2,88.2,88.75,74.46823358535767,1.2548862445280227,162190.0,88.71,203264.0
47,Random,0.2,88.2,89.06,66.06804752349854,1.2548862445280227,162190.0,88.71,203264.0
69,Random,0.2,88.2,88.93,61.11191129684448,1.2548862445280227,162190.0,88.71,203264.0
760,Random,0.2,88.2,88.98,67.07928609848022,1.2548862445280227,162190.0,88.71,203264.0
780,Random,0.2,88.2,88.81,61.614441871643066,1.2548862445280227,162190.0,88.71,203264.0
435,Random,0.2,88.15,88.69,65.77143812179565,1.2548862445280227,162190.0,88.71,203264.0
546,Random,0.2,88.15,88.96,66.82934832572937,1.2548862445280227,162190.0,88.71,203264.0
406,Random,0.2,88.15,89.06,63.882312059402466,1.2548862445280227,162190.0,88.71,203264.0
558,Random,0.2,88.15,88.93,72.07971239089966,1.2548862445280227,162190.0,88.71,203264.0
415,Random,0.2,88.15,88.66,63.66569948196411,1.2548862445280227,162190.0,88.71,203264.0
674,Random,0.2,88.15,88.97,63.343366622924805,1.2548862445280227,162190.0,88.71,203264.0
424,Random,0.2,88.15,89.38,69.26149201393127,1.2548862445280227,162190.0,88.71,203264.0
689,Random,0.2,88.15,87.49,67.87698864936829,1.2548862445280227,162190.0,88.71,203264.0
693,Random,0.2,88.15,88.53,68.78964805603027,1.2548862445280227,162190.0,88.71,203264.0
708,Random,0.2,88.15,89.0,57.732943296432495,1.2548862445280227,162190.0,88.71,203264.0
905,Random,0.2,88.15,88.6,68.80210971832275,1.2548862445280227,162190.0,88.71,203264.0
928,Random,0.2,88.15,88.81,60.664024353027344,1.2548862445280227,162190.0,88.71,203264.0
977,Random,0.2,88.15,88.83,65.18421292304993,1.2548862445280227,162190.0,88.71,203264.0
146,Random,0.2,88.15,88.75,70.1006031036377,1.2548862445280227,162190.0,88.71,203264.0
149,Random,0.2,88.15,88.32,67.06515765190125,1.2548862445280227,162190.0,88.71,203264.0
161,Random,0.2,88.15,88.68,65.83635997772217,1.2548862445280227,162190.0,88.71,203264.0
200,Random,0.2,88.15,88.4,72.75957012176514,1.2548862445280227,162190.0,88.71,203264.0
213,Random,0.2,88.15,88.81,67.71222615242004,1.2548862445280227,162190.0,88.71,203264.0
266,Random,0.2,88.15,89.24,70.20661687850952,1.2548862445280227,162190.0,88.71,203264.0
74,Random,0.2,88.15,88.89,61.250234842300415,1.2548862445280227,162190.0,88.71,203264.0
1,Random,0.2,88.15,88.92,63.39266109466553,1.2548862445280227,162190.0,88.71,203264.0
285,Random,0.2,88.15,89.14,75.37634682655334,1.2548862445280227,162190.0,88.71,203264.0
83,Random,0.2,88.15,88.39,62.93787717819214,1.2548862445280227,162190.0,88.71,203264.0
95,Random,0.2,88.15,88.79,70.52084684371948,1.2548862445280227,162190.0,88.71,203264.0
99,Random,0.2,88.15,88.61,65.11064767837524,1.2548862445280227,162190.0,88.71,203264.0
793,Random,0.2,88.15,88.41,67.1025505065918,1.2548862445280227,162190.0,88.71,203264.0
794,Random,0.2,88.15,89.18,68.11410927772522,1.2548862445280227,162190.0,88.71,203264.0
824,Random,0.2,88.15,88.97,66.94962739944458,1.2548862445280227,162190.0,88.71,203264.0
830,Random,0.2,88.15,88.63,66.944655418396,1.2548862445280227,162190.0,88.71,203264.0
434,Random,0.2,88.1,88.87,62.283912897109985,1.2548862445280227,162190.0,88.71,203264.0
